AP_RNTLS,INS_ANCIL_RNTLS,EARNED_PTS,D_RNTLS,NUM_1D_RNTLS,NUM_2D_RNTLS,NUM_3D_RNTLS,NUM_4D_RNTLS,NUM_5D_RNTLS,NUM_GT5D_RNTLS,REVENUE,Religious.Contributor,Religious.Magazine,RevenuePerDay,STATE.ABBREVIATION,Special.Foods.Buyer,Sports.Magazine.Male,Upscale.Merch.Buyer,NUM_RENTALS,News.and.finance,Num_Adults.in.LU,NumberOfDays,OAP_RNTLS,OCCUPATION.GROUP.V2,Opportunity.seeker,Political.Contributor,HTZ_ZIP,Health.Contributor,ID_RNTLS,LENGTH.OF.RESIDENCE,MAIL.RESPONDER,MARITAL.STATUS,Male.Merch.Buyer,CHILDREN..AGE.0.18.VERSION.3,COMBINED.AGE,CURRENT_TIER,Crafts.Hobby.Buyer,Culinary.Magazine,D.I.Yers,DWELLING.TYPE,DWELLING.UNIT.SIZE,EDUCATION.MODEL,EMAIL_OPTIN,EST.HOUSEHOLD.INCOME.V5,Family.Magazine,Female.Merch.buyer,Female.Orient.Magazine,GENDER,GPR_ENROLL_DATE,Gardening.Buyer,Gardening.Magazinr,General.Contributor,General.Merch.buyer,Gifts.and.Gadgets.Buyer,HTZ_CITY,HTZ_CUSTID,HTZ_STATE,NONINS_ANCIL_RNTLS,fitness.magazine,clu#
4,0,275,8,0,1,5,2,0,8,2095.04,1,1,0.888105129,NY,1,1,0,8,1,3,2359,3,1,1,1,11231,1,0,7,U,M,1,5U,47,PC,1,1,1,A,C,3,Y,L,1,1,1,M,24-01-11,1,1,1,1,1,BROOKLYN,204329204,NY,0,1,1
1,1,0,1,1,0,0,0,0,0,96.76,1,1,0.012525566,TN,1,1,0,1,1,2,7725,0,6,1,1,37072357620,1,0,15,U,M,1,1Y,61,RG,1,1,1,S,A,3,Y,H,1,1,1,M,16-05-96,1,1,1,1,1,GOODLETTSVILLE,204329213,TN,0,1,2
15,1,1323,14,9,5,1,1,0,7,1354.41,1,1,0.713974697,TN,1,1,0,16,1,2,1897,1,2,1,1,37064,1,2,1,U,M,1,1Y,40,RG,1,1,1,S,A,3,Y,J,1,1,1,M,30-04-12,1,1,1,1,1,FRANKLIN,204329250,TN,0,1,3
98,0,15726,98,14,18,37,24,0,84,10384.65,1,1,4.472286822,OK,1,1,0,98,1,2,2322,0,1,1,2,73170,1,0,2,M,M,1,5N,62,PC,1,1,1,S,A,3,Y,J,2,1,1,M,02-03-11,1,1,1,2,2,OKLAHOMA CITY,204329272,FL,0,2,5
1,0,275,0,1,0,0,0,0,0,47.89,1,1,0.006991241,NC,1,1,0,1,1,2,6850,0,3,1,1,27519,1,1,9,U,M,1,1Y,46,RG,1,1,1,S,A,4,N,H,1,1,1,M,08-10-98,1,1,1,1,1,CARY,204329277,NC,0,1,1
17,0,1576,31,14,10,5,0,0,18,4216.93,1,1,0.52403753,NY,1,1,0,32,1,4,8047,1,4,1,1,11753141633,1,1,12,U,M,1,5N,60,FG,1,1,1,S,A,3,Y,L,1,1,1,M,29-06-95,1,1,1,1,1,JERICHO,204329289,NY,0,1,3
3,0,890,1,0,0,0,3,0,3,463.18,1,1,0.245588547,CO,1,1,0,3,1,3,1886,0,1,1,1,80962,1,2,5,M,M,1,1Y,52,RG,1,1,1,P,A,3,Y,H,1,1,1,F,11-05-12,1,1,1,3,1,COLORADO SPRINGS,204329290,CO,0,3,1
4,0,0,2,0,2,1,1,0,4,430,1,1,0.139701105,CA,1,1,0,4,1,6,3078,0,1,1,1,90032,1,2,36,M,M,1,5Y,52,RG,1,1,1,S,A,1,Y,G,1,3,1,M,04-02-09,1,1,1,2,1,LOS ANGELES,204329291,CA,0,1,2
0,0,0,1,0,0,1,0,0,1,71.2,1,1,0.055974843,MA,1,1,0,1,1,2,1272,1,2,1,1,2633,1,0,27,Y,M,1,5N,64,RG,1,1,1,S,A,3,Y,I,1,1,1,M,15-01-14,1,1,1,1,1,CHATHAM,204329315,MA,0,1,2
6,0,2704,2,0,1,0,2,0,6,1168.75,1,1,0.52956502,NC,1,1,0,6,1,2,2207,0,3,1,1,28269096719,1,4,10,U,M,1,1Y,33,RG,1,1,1,S,A,2,Y,E,1,1,1,F,25-06-11,1,1,1,1,1,CHARLOTTE,204329336,NC,0,1,3
1,0,0,0,0,0,0,0,0,1,204.55,1,1,0.083592154,AZ,1,3,0,1,3,4,2447,0,1,1,3,85118180650,1,1,10,M,M,1,5N,63,RG,1,1,1,S,A,4,Y,K,3,1,1,M,28-10-10,1,1,1,2,1,GOLD CANYON,204329338,AZ,0,7,2
6,0,1194,3,1,2,1,0,0,5,1440.5,1,1,0.519660895,VA,1,1,0,6,1,3,2772,0,1,1,1,20164,1,3,12,M,M,1,5N,46,RG,1,1,1,S,A,3,Y,F,1,2,1,F,07-12-09,1,1,1,1,1,STERLING,204329339,VA,0,1,3
2,0,2813,19,0,1,8,9,1,20,3444.2,1,1,1.185611015,MI,1,1,0,20,1,5,2905,18,8,1,1,48076,1,1,15,U,M,1,1Y,48,RG,1,1,1,S,A,1,Y,I,1,1,1,F,27-07-09,1,1,1,1,1,SOUTHFIELD,204329343,MI,0,1,3
6,0,2368,5,0,3,2,1,0,12,1839.25,1,1,0.221596386,GA,2,3,0,12,1,3,8300,6,9,1,1,30097179420,3,7,27,M,M,1,5U,66,RG,1,3,1,S,A,2,N,F,2,1,1,M,19-10-94,1,2,1,1,1,JOHNS CREEK,204329362,GA,0,7,3
1,0,643,1,1,0,0,0,0,0,74,1,1,0.022547227,NC,1,1,0,1,1,1,3282,0,3,1,1,27613122104,1,0,9,U,M,1,1Y,41,RG,1,1,1,S,A,3,Y,J,1,1,1,F,15-07-08,1,1,1,1,1,RALEIGH,204329366,NC,0,1,1
1,0,0,1,0,0,0,1,0,2,581.9,1,1,0.06125908,CA,1,1,0,2,1,4,9499,1,1,1,1,94404192251,1,1,28,U,M,1,5N,53,RG,1,1,1,S,A,4,Y,J,1,1,1,M,08-07-91,1,1,1,1,1,FOSTER CITY,204329386,CA,0,1,2
2,3,663,1,2,0,1,0,0,2,329.2,1,1,0.112240027,CA,1,1,0,4,1,2,2933,2,6,1,1,90247,1,3,2,U,M,1,5Y,36,RG,1,1,1,S,A,3,Y,D,1,1,1,M,29-06-09,1,1,1,1,1,GARDENA,204329399,CA,0,1,1
6,0,0,1,5,0,0,1,0,2,822.0876,1,1,0.404371667,CA,1,2,0,7,1,2,2033,0,1,1,1,92660,1,6,22,M,M,1,1Y,50,RG,1,1,1,S,A,4,Y,H,1,2,1,M,16-12-11,1,1,1,2,2,NEWPORT BEACH,204329408,CA,0,2,2
17,0,0,8,6,9,2,3,0,14,2441.38,1,1,0.738022975,GA,1,1,0,20,1,2,3308,1,8,1,1,30066308390,1,12,11,U,M,1,1Y,43,RG,1,1,1,S,A,3,Y,A,1,1,1,F,19-06-08,1,1,1,1,1,MARIETTA,204329409,GA,0,1,2
0,0,117,1,1,0,1,0,0,1,231.55,1,1,0.070680708,CT,1,1,0,2,1,3,3276,1,1,5,1,6801294811,2,1,19,M,M,1,5N,54,RG,1,1,1,S,A,2,,H,1,1,1,M,21-07-08,1,1,1,2,2,BETHEL,204329412,CT,0,1,1
11,0,4263,6,1,2,6,3,0,13,2885.4821,1,1,1.267229732,VA,1,1,0,14,1,2,2277,1,1,1,1,22030,1,8,18,M,M,1,5U,51,FG,1,1,1,S,A,2,Y,K,2,1,1,M,16-04-11,1,1,1,1,1,FAIRFAX,204329413,VA,0,2,4
3,0,0,0,0,0,0,2,1,3,1049.98,1,1,0.182700539,SC,1,1,0,3,1,1,5747,0,9,1,1,29527436525,1,3,39,U,M,1,1Y,65,RG,1,1,1,S,A,1,N,I,1,1,1,M,15-10-01,1,1,1,1,1,CONWAY,204329430,SC,0,1,2
62,1,7664,15,50,28,3,1,0,36,5779.78,1,1,0.81313731,FL,1,1,0,86,1,3,7108,14,4,1,1,32825,1,71,19,M,M,1,5Y,52,PC,1,1,1,S,A,2,Y,F,3,1,1,F,23-01-98,1,1,1,1,1,ORLANDO,204329433,FL,0,1,4
5,0,275,2,3,2,0,0,0,2,554.71,1,1,0.083377424,GA,1,1,0,5,1,2,6653,0,5,1,1,30024198910,1,3,19,Y,M,1,5U,60,RG,1,1,1,S,A,4,Y,H,1,1,1,F,23-04-99,1,1,1,1,1,SUWANEE,204329435,GA,0,2,1
11,0,275,5,6,2,1,2,0,5,1189.29,1,1,0.440314698,TX,1,1,0,11,1,3,2701,0,9,1,1,77571,1,6,1,U,M,1,5N,69,RG,1,1,1,S,A,5,N,L,1,1,1,M,16-02-10,1,1,1,1,1,LA PORTE,204329442,TX,0,1,1
4,0,1277,4,0,0,1,0,0,4,961.75,1,1,0.469604492,CA,1,1,0,4,1,2,2048,0,2,1,1,95051,1,0,9,U,M,1,1Y,37,RG,1,1,1,S,A,4,Y,J,1,1,1,M,01-12-11,1,1,1,1,1,SANTA CLARA,204329444,CA,0,1,3
31,0,4583,1,9,14,4,3,0,22,3596.83,1,1,0.607470022,OH,1,1,0,31,2,5,5921,0,1,1,1,45231274146,1,30,17,Y,M,1,5Y,50,RG,1,1,1,S,A,3,N,F,1,1,1,M,24-04-01,1,1,1,1,1,CINCINNATI,204329449,OH,0,1,4
7,0,0,0,0,0,0,0,6,7,912.09,1,1,0.427809568,NJ,1,1,0,7,1,2,2132,0,6,1,1,7001138103,1,7,13,U,M,1,5N,58,RG,1,1,1,S,A,4,Y,F,1,1,1,M,08-09-11,1,1,1,1,1,AVENEL,204329452,NJ,0,1,2
9,0,0,0,3,4,6,1,0,11,1243.86,1,1,0.388099844,NY,1,3,0,14,1,3,3205,3,3,1,2,14467978756,1,14,13,M,M,1,1Y,54,RG,1,1,1,S,A,3,N,H,1,2,1,M,30-09-08,1,1,1,1,1,HENRIETTA,204329456,NY,0,4,2
1,0,0,0,0,0,0,0,0,1,239.5,1,1,0.056512506,TX,1,2,0,1,1,2,4238,0,1,1,1,77070348211,1,1,14,M,M,1,5N,63,RG,1,1,1,S,A,3,N,H,2,1,1,M,02-12-05,1,1,1,1,1,HOUSTON,204329462,TX,0,1,2
11,0,1254,4,0,8,4,1,0,13,1239.349,1,1,0.703775696,CA,1,1,0,13,1,3,1761,1,1,1,1,94040,1,9,22,M,M,1,1Y,54,RG,2,1,1,S,A,4,Y,K,2,2,1,M,13-09-12,1,1,1,2,1,MOUNTAIN VIEW,204329489,CA,0,1,3
9,0,275,0,0,0,4,2,0,9,1408.49,1,1,0.439466459,TN,1,1,0,9,1,4,3205,0,1,1,1,37721500470,1,9,17,Y,M,1,5N,58,RG,1,1,1,S,A,1,N,F,1,1,1,F,30-09-08,1,1,1,1,1,CORRYTON,204329493,TN,0,1,1
2,0,275,2,1,1,0,0,0,1,311.45,1,1,0.049093632,CA,1,1,0,2,1,3,6344,0,2,1,1,95628612132,2,0,18,M,M,1,5N,19,RG,1,1,1,S,A,2,N,H,2,1,1,M,26-02-00,1,1,1,1,1,FAIR OAKS,204329520,CA,0,2,1
7,1,0,8,1,2,0,1,0,7,1546.64,1,1,0.398208033,NJ,1,1,0,8,1,4,3884,0,9,1,3,7719201008,1,0,17,M,U,1,5N,74,PL,1,1,1,S,A,2,N,L,2,1,1,M,21-11-06,1,1,1,1,1,BELMAR,204329521,NJ,0,1,2
4,0,0,3,0,3,0,1,0,4,661.36,1,1,0.116109551,IL,1,1,0,4,1,5,5696,0,1,1,1,60031410864,1,1,11,U,M,1,1Y,54,RG,1,1,1,S,A,4,N,L,1,1,1,M,05-12-01,1,1,1,1,1,GURNEE,204329523,IL,0,1,2
52,0,6585,48,14,23,9,7,0,39,4938.57,1,1,1.286085938,CA,1,1,0,53,2,3,3840,1,1,1,2,95661,1,5,6,M,M,1,1Y,53,FG,1,1,1,S,A,3,Y,H,2,1,1,M,04-01-07,1,1,1,1,1,ROSEVILLE,204329539,CA,0,2,4
15,1,3333,39,8,5,13,4,0,31,3875.06,1,1,0.558446462,CA,1,1,0,39,1,4,6939,24,1,2,1,95758131132,1,0,8,M,M,1,5U,54,FG,1,1,1,S,A,2,N,F,1,1,1,M,11-07-98,1,1,1,1,1,ELK GROVE,204329540,CA,0,1,3
3,1,349,3,2,0,0,0,0,1,451.67,1,1,0.257802511,CT,1,2,0,3,1,3,1752,0,1,2,1,6117,1,0,5,M,M,1,5Y,44,RG,1,1,1,S,A,4,Y,J,2,2,1,M,22-09-12,1,1,1,2,2,WEST HARTFORD,204329544,CT,0,6,1
0,0,0,4,1,1,2,0,0,3,365.48,1,1,0.044338226,NY,1,1,0,4,1,4,8243,4,8,1,1,10533100020,1,0,25,U,M,1,5N,60,RG,1,1,1,S,A,4,N,L,1,1,1,M,15-12-94,1,1,1,1,1,IRVINGTON,204329549,NY,0,1,2
2,0,275,1,1,2,0,1,0,4,378.62,1,1,0.077841283,IN,1,1,0,5,3,5,4864,1,5,1,1,46530780870,1,4,22,M,M,1,1Y,56,RG,1,1,1,S,A,4,N,G,2,1,2,M,16-03-04,1,1,1,1,1,GRANGER,204329556,IN,0,1,1
26,0,0,0,18,9,0,0,0,9,1999.47,2,1,0.531915403,ID,1,1,0,27,1,2,3759,0,2,1,1,83716315242,1,27,9,M,M,1,1Y,42,FG,1,1,1,S,A,4,N,F,1,1,1,M,26-03-07,1,1,1,1,1,BOISE,204329559,ID,0,1,2
32,0,7597,8,29,7,2,4,0,14,7102.62,1,1,1.092710769,TX,1,1,0,43,3,2,6500,1,1,1,2,76034820617,1,35,11,M,M,1,5Y,44,PC,1,2,1,S,A,3,Y,L,1,1,1,M,23-09-99,1,1,1,2,1,COLLEYVILLE,204329569,TX,0,1,4
1,0,0,0,0,0,0,1,0,1,242.48,1,1,0.125183273,AR,1,1,0,1,1,1,1937,0,3,1,1,72023,1,1,1,U,U,1,5U,61,RG,1,1,1,S,A,3,Y,E,1,1,1,F,21-03-12,1,1,1,1,1,CABOT,204329577,AR,0,1,2
9,1,1057,21,2,3,2,3,1,21,8983.8383,1,1,4.157259741,TN,1,1,0,23,1,4,2161,0,3,1,1,37204,1,2,1,U,U,1,5U,50,FG,1,1,1,S,A,4,Y,E,1,1,1,F,10-08-11,1,1,1,1,1,NASHVILLE,204329581,OH,0,1,3
0,2,0,2,1,0,0,1,0,1,338.8955,1,1,1.201757092,MI,1,1,0,2,1,2,282,0,8,1,1,48158,1,0,10,U,M,1,5U,35,RG,1,1,1,S,A,2,Y,F,1,1,1,F,01-10-16,1,1,1,1,1,MANCHESTER,204329599,MI,0,1,2
10,0,275,11,0,1,4,3,0,11,1858.77,1,1,0.467968278,NC,1,1,0,11,1,2,3972,0,9,1,1,27101,1,0,3,U,U,1,5N,65,RG,1,1,1,S,A,3,Y,G,1,1,1,F,25-08-06,1,1,1,1,1,WINSTON SALEM,204329609,NC,0,1,1
29,0,2522,23,16,11,4,1,0,16,1577.9,1,1,0.297773165,CA,1,1,0,32,1,2,5299,3,1,1,1,95831186471,1,9,12,U,M,1,1Y,49,FG,1,1,1,S,A,4,Y,H,1,1,1,F,06-01-03,1,1,1,1,1,SACRAMENTO,204329612,CA,0,1,3
4,2,1060,4,0,0,1,1,0,4,858.12,1,1,0.0934059,NC,1,1,0,4,1,3,9187,0,3,1,1,27526921740,1,0,13,M,M,1,1Y,61,RG,1,1,1,S,A,1,Y,G,2,1,1,F,15-05-92,1,1,1,2,1,FUQUAY VARINA,204329623,NC,0,1,3
4,4,0,4,0,0,0,0,0,4,1384.52,1,1,0.186316781,AL,1,2,0,4,1,1,7431,0,8,3,2,35758,1,0,1,M,M,1,5Y,64,RG,1,1,1,S,A,3,N,L,1,1,1,F,06-03-97,1,1,1,1,1,MADISON,204329632,AL,0,3,2
10,0,1353,10,0,3,3,3,0,10,627.62,1,1,0.260639535,NJ,1,1,0,10,1,3,2408,0,8,1,1,7047,3,0,21,M,S,1,5U,30,FG,1,1,1,A,B,1,Y,E,1,1,1,M,06-12-10,1,1,1,2,2,JERSEY CITY,204329635,NJ,0,1,3
1,0,0,1,1,0,0,0,0,0,45.1,1,1,0.020169946,CA,1,1,0,1,1,4,2236,0,1,1,1,92562,1,0,7,Y,M,1,5N,60,RG,1,1,1,S,A,2,N,G,1,1,1,M,27-05-11,1,1,1,1,1,MURRIETA,204329643,CA,0,2,2
1,1,0,0,0,0,3,0,1,5,1730.89,1,1,0.381926302,MD,1,1,0,5,1,2,4532,0,3,1,1,20720483217,1,5,10,M,M,1,5Y,47,RG,1,1,1,S,A,3,N,G,1,2,1,F,11-02-05,1,1,1,1,1,BOWIE,204329646,MD,0,1,2
39,0,10325,3,2,6,3,9,15,37,7288.09,1,1,2.836936551,PA,1,1,0,39,1,2,2569,0,2,1,1,19352,1,36,17,U,M,1,5Y,44,FG,1,1,1,S,A,3,Y,F,1,1,1,M,28-06-10,1,1,1,1,1,LINCOLN UNIVERSITY,204329649,PA,0,1,4
